Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-11 13:26:39.885,13.0,16.0,173.0,170.0,
2023-08-11 13:26:39.970,13.0,16.0,173.0,170.0,
2023-08-11 13:26:40.059,14.0,16.0,173.0,170.0,
2023-08-11 13:26:40.155,14.0,16.0,173.0,170.0,
2023-08-11 13:26:40.242,14.0,15.0,173.0,170.0,
2023-08-11 13:26:40.326,14.0,15.0,173.0,170.0,
2023-08-11 13:26:40.412,14.0,15.0,173.0,170.0,
2023-08-11 13:26:40.497,14.0,15.0,173.0,170.0,
2023-08-11 13:26:40.586,14.0,15.0,173.0,170.0,
2023-08-11 13:26:40.676,14.0,15.0,173.0,170.0,
2023-08-11 13:26:40.763,15.0,16.0,170.0,170.0,
2023-08-11 13:26:40.855,17.0,17.0,166.0,169.0,
2023-08-11 13:26:40.943,19.0,19.0,162.0,167.0,
2023-08-11 13:26:41.034,31.0,27.0,135.0,138.0,
2023-08-11 13:26:41.124,34.0,35.0,106.0,105.0,
2023-08-11 13:26:41.212,45.0,44.0,46.0,63.0,
2023-08-11 13:26:41.308,68.0,65.0,20.0,29.0,
2023-08-11 13:26:41.399,78.0,79.0,6.0,9.0,
2023-08-11 13:26:41.485,89.0,91.0,6.0,1.0,
2023-08-11 13:26:41.570,104.0,109.0,19.0,17.0,
2023-08-11 13:26:41.659,108.0,114.0,24.0,22.0,
2023-08-11 13:26:41.749,109.0,116.0,27.0,24.0,
2023-08-11 13:26:41.841,109.0,117.0,27.0,23.0,
2023-08-11 13:26:41.925,109.0,117.0,25.0,23.0,
2023-08-11 13:26:42.013,109.0,118.0,25.0,23.0,
2023-08-11 13:26:42.102,109.0,119.0,24.0,23.0,
2023-08-11 13:26:42.187,109.0,120.0,25.0,24.0,Well done! You are doing the right movement!
2023-08-11 13:26:42.285,109.0,119.0,24.0,24.0,
2023-08-11 13:26:42.372,106.0,117.0,19.0,21.0,
2023-08-11 13:26:42.455,97.0,104.0,18.0,17.0,
2023-08-11 13:26:42.543,79.0,84.0,11.0,1.0,
2023-08-11 13:26:42.628,39.0,42.0,85.0,50.0,
2023-08-11 13:26:42.716,34.0,31.0,120.0,100.0,
2023-08-11 13:26:42.804,29.0,26.0,136.0,132.0,
2023-08-11 13:26:42.895,22.0,20.0,155.0,157.0,
