Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-23 14:59:23.967,11.0,10.0,177.0,176.0,
2023-08-23 14:59:24.043,11.0,11.0,177.0,175.0,
2023-08-23 14:59:24.120,11.0,11.0,177.0,175.0,
2023-08-23 14:59:24.195,11.0,11.0,177.0,175.0,
2023-08-23 14:59:24.270,11.0,11.0,176.0,175.0,
2023-08-23 14:59:24.348,12.0,11.0,176.0,175.0,
2023-08-23 14:59:24.425,12.0,11.0,174.0,174.0,
2023-08-23 14:59:24.500,14.0,13.0,169.0,169.0,
2023-08-23 14:59:24.573,24.0,24.0,140.0,130.0,
2023-08-23 14:59:24.646,32.0,31.0,107.0,103.0,
2023-08-23 14:59:24.722,40.0,41.0,73.0,68.0,
2023-08-23 14:59:24.801,56.0,62.0,39.0,23.0,
2023-08-23 14:59:24.883,94.0,84.0,13.0,10.0,
2023-08-23 14:59:24.955,103.0,95.0,2.0,0.0,
2023-08-23 14:59:25.032,110.0,109.0,16.0,16.0,
2023-08-23 14:59:25.105,114.0,113.0,23.0,21.0,
2023-08-23 14:59:25.178,116.0,120.0,23.0,23.0,
2023-08-23 14:59:25.256,118.0,119.0,25.0,22.0,Well done! You are doing the right movement!
2023-08-23 14:59:25.343,115.0,114.0,22.0,22.0,
2023-08-23 14:59:25.422,106.0,103.0,11.0,13.0,
2023-08-23 14:59:25.498,95.0,79.0,2.0,7.0,
2023-08-23 14:59:25.571,50.0,56.0,15.0,0.0,
2023-08-23 14:59:25.645,38.0,38.0,133.0,95.0,
2023-08-23 14:59:25.723,20.0,16.0,170.0,169.0,
2023-08-23 14:59:25.804,14.0,13.0,178.0,174.0,
2023-08-23 14:59:25.887,12.0,11.0,177.0,176.0,
2023-08-23 14:59:25.963,11.0,11.0,178.0,177.0,
2023-08-23 14:59:26.040,11.0,11.0,176.0,176.0,
2023-08-23 14:59:26.115,12.0,11.0,174.0,174.0,
2023-08-23 14:59:26.191,16.0,18.0,168.0,162.0,
2023-08-23 14:59:26.272,25.0,31.0,146.0,130.0,
2023-08-23 14:59:26.354,35.0,41.0,101.0,89.0,
2023-08-23 14:59:26.425,58.0,64.0,53.0,15.0,
2023-08-23 14:59:26.503,101.0,88.0,3.0,0.0,
2023-08-23 14:59:26.581,113.0,107.0,0.0,9.0,
2023-08-23 14:59:26.660,124.0,124.0,19.0,24.0,
2023-08-23 14:59:26.736,124.0,127.0,24.0,28.0,
2023-08-23 14:59:26.813,121.0,123.0,25.0,25.0,
2023-08-23 14:59:26.889,112.0,110.0,18.0,15.0,
2023-08-23 14:59:26.966,103.0,106.0,7.0,9.0,
2023-08-23 14:59:27.039,38.0,41.0,64.0,17.0,
2023-08-23 14:59:27.113,27.0,29.0,163.0,149.0,
2023-08-23 14:59:27.187,19.0,16.0,178.0,175.0,
2023-08-23 14:59:27.264,14.0,13.0,176.0,179.0,
2023-08-23 14:59:27.345,13.0,12.0,176.0,179.0,
2023-08-23 14:59:27.421,12.0,12.0,179.0,178.0,
2023-08-23 14:59:27.498,11.0,12.0,178.0,178.0,
2023-08-23 14:59:27.573,13.0,12.0,175.0,176.0,
2023-08-23 14:59:27.647,14.0,13.0,177.0,173.0,
2023-08-23 14:59:27.724,20.0,25.0,160.0,148.0,
2023-08-23 14:59:27.798,32.0,39.0,150.0,114.0,
2023-08-23 14:59:27.876,50.0,60.0,71.0,20.0,
2023-08-23 14:59:27.957,77.0,81.0,1.0,0.0,
2023-08-23 14:59:28.028,101.0,100.0,0.0,3.0,
2023-08-23 14:59:28.108,115.0,119.0,24.0,18.0,
2023-08-23 14:59:28.180,125.0,129.0,28.0,28.0,
2023-08-23 14:59:28.252,125.0,127.0,27.0,26.0,
2023-08-23 14:59:28.343,117.0,118.0,26.0,19.0,
2023-08-23 14:59:28.422,104.0,103.0,11.0,10.0,
2023-08-23 14:59:28.496,81.0,75.0,25.0,15.0,
2023-08-23 14:59:28.570,43.0,53.0,50.0,5.0,
2023-08-23 14:59:28.646,25.0,30.0,170.0,142.0,
2023-08-23 14:59:28.724,17.0,17.0,178.0,170.0,
2023-08-23 14:59:28.807,14.0,13.0,176.0,176.0,
2023-08-23 14:59:28.886,12.0,12.0,177.0,176.0,
2023-08-23 14:59:28.962,12.0,11.0,177.0,178.0,
2023-08-23 14:59:29.035,11.0,11.0,177.0,178.0,
2023-08-23 14:59:29.108,13.0,14.0,173.0,173.0,
2023-08-23 14:59:29.182,16.0,19.0,168.0,164.0,
2023-08-23 14:59:29.258,25.0,35.0,146.0,131.0,
2023-08-23 14:59:29.338,35.0,55.0,142.0,89.0,
2023-08-23 14:59:29.415,54.0,72.0,43.0,19.0,
2023-08-23 14:59:29.490,92.0,96.0,20.0,1.0,
2023-08-23 14:59:29.566,108.0,113.0,9.0,11.0,
2023-08-23 14:59:29.641,122.0,126.0,34.0,23.0,
2023-08-23 14:59:29.722,123.0,127.0,39.0,26.0,
2023-08-23 14:59:29.805,117.0,122.0,40.0,23.0,
2023-08-23 14:59:29.889,107.0,109.0,28.0,14.0,
2023-08-23 14:59:29.967,103.0,92.0,1.0,3.0,
2023-08-23 14:59:30.040,49.0,57.0,37.0,6.0,
2023-08-23 14:59:30.113,26.0,24.0,168.0,158.0,
2023-08-23 14:59:30.185,18.0,15.0,176.0,176.0,
2023-08-23 14:59:30.262,14.0,14.0,174.0,176.0,
2023-08-23 14:59:30.341,12.0,13.0,175.0,178.0,
2023-08-23 14:59:30.414,11.0,12.0,179.0,179.0,
2023-08-23 14:59:30.487,11.0,13.0,177.0,178.0,
2023-08-23 14:59:30.565,11.0,13.0,176.0,175.0,
2023-08-23 14:59:30.641,13.0,22.0,172.0,157.0,
2023-08-23 14:59:30.725,27.0,36.0,144.0,126.0,
2023-08-23 14:59:30.802,36.0,53.0,113.0,45.0,
2023-08-23 14:59:30.880,58.0,76.0,3.0,5.0,
2023-08-23 14:59:30.963,99.0,100.0,2.0,3.0,
2023-08-23 14:59:31.040,113.0,115.0,22.0,16.0,
2023-08-23 14:59:31.115,123.0,125.0,32.0,29.0,
2023-08-23 14:59:31.187,123.0,125.0,34.0,30.0,
2023-08-23 14:59:31.266,115.0,118.0,33.0,27.0,
2023-08-23 14:59:31.350,101.0,104.0,23.0,20.0,
2023-08-23 14:59:31.432,79.0,75.0,24.0,11.0,
2023-08-23 14:59:31.514,42.0,53.0,39.0,16.0,
2023-08-23 14:59:31.594,22.0,23.0,177.0,161.0,
2023-08-23 14:59:31.669,16.0,15.0,176.0,177.0,
2023-08-23 14:59:31.747,13.0,13.0,174.0,178.0,
2023-08-23 14:59:31.823,12.0,11.0,179.0,179.0,
2023-08-23 14:59:31.905,11.0,11.0,175.0,179.0,
2023-08-23 14:59:31.988,12.0,13.0,174.0,175.0,
2023-08-23 14:59:32.071,14.0,14.0,174.0,174.0,
2023-08-23 14:59:32.147,21.0,25.0,158.0,152.0,
2023-08-23 14:59:32.225,30.0,40.0,144.0,118.0,
2023-08-23 14:59:32.301,46.0,60.0,96.0,35.0,
2023-08-23 14:59:32.379,101.0,101.0,2.0,4.0,
2023-08-23 14:59:32.460,113.0,116.0,20.0,18.0,
2023-08-23 14:59:32.543,121.0,124.0,22.0,22.0,
2023-08-23 14:59:32.618,124.0,127.0,28.0,24.0,
2023-08-23 14:59:32.696,124.0,127.0,27.0,23.0,
2023-08-23 14:59:32.777,117.0,120.0,23.0,16.0,
2023-08-23 14:59:32.854,87.0,87.0,19.0,1.0,
2023-08-23 14:59:32.931,44.0,58.0,9.0,14.0,
2023-08-23 14:59:33.012,36.0,39.0,142.0,103.0,
2023-08-23 14:59:33.090,24.0,27.0,171.0,155.0,
2023-08-23 14:59:33.164,18.0,17.0,179.0,175.0,
2023-08-23 14:59:33.239,13.0,13.0,179.0,179.0,
2023-08-23 14:59:33.314,11.0,13.0,177.0,179.0,
2023-08-23 14:59:33.397,11.0,13.0,177.0,178.0,
2023-08-23 14:59:33.475,12.0,14.0,176.0,176.0,
2023-08-23 14:59:33.556,14.0,17.0,174.0,170.0,
2023-08-23 14:59:33.632,23.0,33.0,155.0,140.0,
2023-08-23 14:59:33.715,31.0,45.0,174.0,110.0,
2023-08-23 14:59:33.796,100.0,101.0,0.0,0.0,
2023-08-23 14:59:33.875,115.0,120.0,20.0,12.0,
2023-08-23 14:59:33.950,125.0,129.0,23.0,22.0,
2023-08-23 14:59:34.026,128.0,129.0,30.0,25.0,
2023-08-23 14:59:34.101,127.0,125.0,30.0,23.0,
2023-08-23 14:59:34.177,103.0,119.0,18.0,8.0,
2023-08-23 14:59:34.250,70.0,70.0,40.0,18.0,
2023-08-23 14:59:34.330,37.0,41.0,33.0,30.0,
2023-08-23 14:59:34.401,26.0,28.0,169.0,156.0,
2023-08-23 14:59:34.473,19.0,17.0,178.0,176.0,
2023-08-23 14:59:34.552,14.0,13.0,173.0,178.0,
2023-08-23 14:59:34.633,12.0,12.0,176.0,178.0,
2023-08-23 14:59:34.708,12.0,13.0,178.0,174.0,
2023-08-23 14:59:34.787,14.0,14.0,178.0,171.0,
2023-08-23 14:59:34.867,15.0,19.0,178.0,163.0,
2023-08-23 14:59:34.945,24.0,31.0,158.0,138.0,
2023-08-23 14:59:35.019,34.0,50.0,148.0,94.0,
2023-08-23 14:59:35.098,59.0,72.0,22.0,14.0,
2023-08-23 14:59:35.172,113.0,116.0,24.0,13.0,
2023-08-23 14:59:35.249,122.0,127.0,24.0,22.0,
2023-08-23 14:59:35.342,126.0,130.0,25.0,29.0,
2023-08-23 14:59:35.421,125.0,130.0,34.0,29.0,
2023-08-23 14:59:35.501,119.0,120.0,34.0,22.0,
2023-08-23 14:59:35.579,105.0,106.0,15.0,11.0,
2023-08-23 14:59:35.658,44.0,55.0,32.0,1.0,
2023-08-23 14:59:35.732,33.0,42.0,157.0,125.0,
2023-08-23 14:59:35.807,23.0,21.0,173.0,166.0,
2023-08-23 14:59:35.893,16.0,14.0,179.0,179.0,
2023-08-23 14:59:35.972,13.0,13.0,177.0,179.0,
2023-08-23 14:59:36.052,12.0,13.0,176.0,178.0,
2023-08-23 14:59:36.134,12.0,13.0,175.0,176.0,
2023-08-23 14:59:36.210,13.0,14.0,174.0,173.0,
2023-08-23 14:59:36.285,15.0,20.0,172.0,163.0,
2023-08-23 14:59:36.365,25.0,30.0,148.0,136.0,
2023-08-23 14:59:36.438,56.0,65.0,38.0,17.0,
2023-08-23 14:59:36.511,91.0,93.0,7.0,4.0,
2023-08-23 14:59:36.588,112.0,113.0,20.0,13.0,
2023-08-23 14:59:36.663,117.0,123.0,29.0,21.0,
2023-08-23 14:59:36.739,118.0,124.0,30.0,24.0,
2023-08-23 14:59:36.815,110.0,117.0,27.0,20.0,
2023-08-23 14:59:36.896,95.0,103.0,16.0,12.0,
2023-08-23 14:59:36.974,42.0,55.0,12.0,10.0,
2023-08-23 14:59:37.052,29.0,33.0,162.0,144.0,
2023-08-23 14:59:37.122,19.0,22.0,178.0,168.0,
2023-08-23 14:59:37.196,15.0,15.0,176.0,179.0,
2023-08-23 14:59:37.276,13.0,13.0,175.0,179.0,
2023-08-23 14:59:37.354,12.0,12.0,179.0,179.0,
2023-08-23 14:59:37.427,12.0,13.0,176.0,179.0,
2023-08-23 14:59:37.505,13.0,14.0,174.0,176.0,
2023-08-23 14:59:37.580,15.0,18.0,170.0,169.0,
2023-08-23 14:59:37.655,26.0,30.0,146.0,146.0,
2023-08-23 14:59:37.729,35.0,42.0,96.0,71.0,
2023-08-23 14:59:37.810,58.0,68.0,26.0,7.0,
2023-08-23 14:59:37.890,96.0,93.0,5.0,6.0,
2023-08-23 14:59:37.971,119.0,123.0,25.0,18.0,
2023-08-23 14:59:38.048,121.0,126.0,32.0,23.0,
2023-08-23 14:59:38.127,116.0,123.0,37.0,21.0,
2023-08-23 14:59:38.202,104.0,109.0,22.0,9.0,
2023-08-23 14:59:38.279,97.0,103.0,8.0,2.0,
2023-08-23 14:59:38.355,50.0,63.0,32.0,23.0,
2023-08-23 14:59:38.426,26.0,31.0,173.0,147.0,
2023-08-23 14:59:38.503,16.0,17.0,175.0,173.0,
2023-08-23 14:59:38.581,13.0,13.0,175.0,177.0,
2023-08-23 14:59:38.654,11.0,12.0,179.0,177.0,
2023-08-23 14:59:38.739,11.0,12.0,176.0,175.0,
2023-08-23 14:59:38.818,12.0,13.0,174.0,174.0,
2023-08-23 14:59:38.902,14.0,14.0,173.0,172.0,
2023-08-23 14:59:38.980,32.0,47.0,151.0,87.0,
2023-08-23 14:59:39.060,61.0,72.0,3.0,2.0,
2023-08-23 14:59:39.134,94.0,96.0,18.0,4.0,
2023-08-23 14:59:39.214,114.0,116.0,6.0,11.0,
2023-08-23 14:59:39.295,124.0,127.0,22.0,19.0,
2023-08-23 14:59:39.372,124.0,128.0,28.0,22.0,
2023-08-23 14:59:39.450,111.0,113.0,15.0,8.0,
2023-08-23 14:59:39.527,94.0,102.0,15.0,7.0,
2023-08-23 14:59:39.606,59.0,64.0,32.0,22.0,
2023-08-23 14:59:39.686,39.0,43.0,166.0,126.0,
2023-08-23 14:59:39.764,27.0,31.0,176.0,156.0,
2023-08-23 14:59:39.856,15.0,16.0,172.0,177.0,
2023-08-23 14:59:39.931,13.0,13.0,177.0,177.0,
2023-08-23 14:59:40.008,12.0,12.0,178.0,176.0,
2023-08-23 14:59:40.081,13.0,13.0,177.0,179.0,
2023-08-23 14:59:40.155,16.0,15.0,175.0,176.0,
2023-08-23 14:59:40.239,26.0,31.0,126.0,150.0,
2023-08-23 14:59:40.321,49.0,59.0,144.0,0.0,
2023-08-23 14:59:40.400,87.0,88.0,9.0,5.0,
2023-08-23 14:59:40.486,109.0,108.0,15.0,13.0,
2023-08-23 14:59:40.562,119.0,120.0,27.0,18.0,
2023-08-23 14:59:40.636,125.0,127.0,34.0,25.0,
2023-08-23 14:59:40.712,117.0,113.0,31.0,16.0,
2023-08-23 14:59:40.788,99.0,96.0,19.0,11.0,
2023-08-23 14:59:40.864,75.0,68.0,27.0,17.0,
2023-08-23 14:59:40.940,43.0,40.0,129.0,110.0,
2023-08-23 14:59:41.010,31.0,30.0,164.0,162.0,
2023-08-23 14:59:41.087,17.0,15.0,179.0,177.0,
2023-08-23 14:59:41.171,12.0,12.0,176.0,178.0,
2023-08-23 14:59:41.245,11.0,11.0,178.0,179.0,
