Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-17 11:47:25.273,17.0,15.0,168.0,169.0,
2023-08-17 11:47:25.349,17.0,15.0,167.0,169.0,
2023-08-17 11:47:25.429,18.0,16.0,167.0,169.0,
2023-08-17 11:47:25.507,18.0,17.0,168.0,168.0,
2023-08-17 11:47:25.583,19.0,20.0,167.0,163.0,
2023-08-17 11:47:25.672,21.0,27.0,169.0,152.0,
2023-08-17 11:47:25.749,28.0,40.0,158.0,131.0,
2023-08-17 11:47:25.825,33.0,47.0,141.0,117.0,
2023-08-17 11:47:25.903,38.0,59.0,116.0,83.0,
2023-08-17 11:47:25.978,48.0,70.0,21.0,46.0,
2023-08-17 11:47:26.053,73.0,86.0,7.0,14.0,
2023-08-17 11:47:26.129,80.0,89.0,3.0,6.0,
2023-08-17 11:47:26.210,86.0,94.0,2.0,3.0,
2023-08-17 11:47:26.291,89.0,98.0,5.0,0.0,
2023-08-17 11:47:26.373,91.0,100.0,8.0,2.0,
2023-08-17 11:47:26.459,91.0,102.0,9.0,3.0,
2023-08-17 11:47:26.547,92.0,102.0,9.0,4.0,Well done! You are doing the right movement!
2023-08-17 11:47:26.625,91.0,103.0,6.0,4.0,
2023-08-17 11:47:26.707,88.0,101.0,2.0,1.0,
2023-08-17 11:47:26.782,85.0,96.0,3.0,2.0,
2023-08-17 11:47:26.865,66.0,82.0,16.0,1.0,
2023-08-17 11:47:26.947,36.0,41.0,97.0,129.0,
2023-08-17 11:47:27.024,27.0,29.0,150.0,160.0,
2023-08-17 11:47:27.103,22.0,21.0,164.0,170.0,
2023-08-17 11:47:27.181,19.0,17.0,169.0,173.0,
2023-08-17 11:47:27.262,17.0,14.0,170.0,178.0,
2023-08-17 11:47:27.338,17.0,14.0,169.0,176.0,
2023-08-17 11:47:27.419,18.0,14.0,168.0,174.0,
2023-08-17 11:47:27.493,18.0,14.0,168.0,173.0,
2023-08-17 11:47:27.573,18.0,14.0,167.0,172.0,
2023-08-17 11:47:27.651,19.0,16.0,167.0,171.0,
2023-08-17 11:47:27.732,22.0,25.0,166.0,157.0,
2023-08-17 11:47:27.814,27.0,36.0,152.0,137.0,
2023-08-17 11:47:27.891,32.0,46.0,126.0,118.0,
2023-08-17 11:47:27.973,35.0,57.0,41.0,78.0,
2023-08-17 11:47:28.052,45.0,70.0,11.0,32.0,
2023-08-17 11:47:28.133,57.0,79.0,14.0,16.0,
2023-08-17 11:47:28.214,82.0,100.0,4.0,2.0,
2023-08-17 11:47:28.292,91.0,109.0,12.0,5.0,
2023-08-17 11:47:28.368,91.0,112.0,11.0,9.0,
2023-08-17 11:47:28.446,91.0,112.0,11.0,11.0,
2023-08-17 11:47:28.526,92.0,113.0,9.0,9.0,
2023-08-17 11:47:28.608,91.0,112.0,8.0,4.0,
2023-08-17 11:47:28.683,87.0,108.0,3.0,1.0,
2023-08-17 11:47:28.765,83.0,102.0,3.0,3.0,
2023-08-17 11:47:28.842,68.0,91.0,17.0,14.0,
2023-08-17 11:47:28.919,45.0,65.0,34.0,33.0,
2023-08-17 11:47:28.997,29.0,37.0,151.0,142.0,
2023-08-17 11:47:29.076,23.0,23.0,164.0,165.0,
2023-08-17 11:47:29.156,20.0,17.0,167.0,171.0,
2023-08-17 11:47:29.233,18.0,15.0,168.0,176.0,
2023-08-17 11:47:29.310,17.0,15.0,171.0,172.0,
2023-08-17 11:47:29.389,16.0,15.0,173.0,171.0,
