Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-18 10:45:19.246,92.0,107.0,6.0,6.0,
2023-08-18 10:45:19.342,98.0,111.0,8.0,9.0,
2023-08-18 10:45:19.429,104.0,118.0,11.0,14.0,
2023-08-18 10:45:19.513,111.0,123.0,19.0,17.0,
2023-08-18 10:45:19.601,114.0,125.0,22.0,20.0,
2023-08-18 10:45:19.683,114.0,126.0,21.0,21.0,
2023-08-18 10:45:19.770,113.0,125.0,20.0,20.0,
2023-08-18 10:45:19.865,111.0,125.0,18.0,20.0,
2023-08-18 10:45:19.952,110.0,124.0,17.0,19.0,
2023-08-18 10:45:20.044,109.0,124.0,16.0,18.0,
2023-08-18 10:45:20.137,109.0,123.0,15.0,18.0,
2023-08-18 10:45:20.226,109.0,124.0,15.0,18.0,
2023-08-18 10:45:20.311,109.0,123.0,15.0,18.0,
2023-08-18 10:45:20.393,106.0,123.0,14.0,17.0,
2023-08-18 10:45:20.487,94.0,117.0,10.0,14.0,
2023-08-18 10:45:20.573,81.0,106.0,5.0,7.0,Well done! You are doing the right movement!
2023-08-18 10:45:20.670,54.0,75.0,40.0,30.0,
2023-08-18 10:45:20.753,43.0,58.0,61.0,50.0,
2023-08-18 10:45:20.837,36.0,47.0,89.0,75.0,
2023-08-18 10:45:20.924,28.0,32.0,128.0,126.0,
2023-08-18 10:45:21.011,25.0,23.0,143.0,148.0,
2023-08-18 10:45:21.101,22.0,18.0,150.0,162.0,
2023-08-18 10:45:21.185,17.0,11.0,162.0,173.0,
2023-08-18 10:45:21.277,16.0,10.0,164.0,174.0,
2023-08-18 10:45:21.362,15.0,10.0,166.0,174.0,
2023-08-18 10:45:21.456,15.0,11.0,167.0,172.0,
2023-08-18 10:45:21.540,14.0,10.0,168.0,174.0,
2023-08-18 10:45:21.635,14.0,10.0,168.0,174.0,
2023-08-18 10:45:21.732,14.0,10.0,168.0,174.0,
2023-08-18 10:45:21.824,14.0,10.0,167.0,174.0,
2023-08-18 10:45:21.915,14.0,10.0,167.0,173.0,
2023-08-18 10:45:22.003,14.0,10.0,167.0,173.0,
2023-08-18 10:45:22.095,14.0,10.0,167.0,172.0,
2023-08-18 10:45:22.179,15.0,10.0,167.0,172.0,
2023-08-18 10:45:22.263,16.0,14.0,163.0,164.0,
2023-08-18 10:45:22.349,19.0,19.0,157.0,153.0,
2023-08-18 10:45:22.436,23.0,26.0,146.0,136.0,
2023-08-18 10:45:22.523,29.0,36.0,115.0,105.0,
2023-08-18 10:45:22.614,34.0,43.0,88.0,84.0,
2023-08-18 10:45:22.697,40.0,52.0,66.0,62.0,
2023-08-18 10:45:22.783,56.0,73.0,36.0,34.0,
2023-08-18 10:45:22.872,67.0,89.0,24.0,13.0,
2023-08-18 10:45:22.959,79.0,99.0,7.0,1.0,
2023-08-18 10:45:23.046,85.0,108.0,2.0,7.0,
2023-08-18 10:45:23.147,100.0,118.0,13.0,17.0,
2023-08-18 10:45:23.232,106.0,123.0,17.0,18.0,
2023-08-18 10:45:23.318,109.0,125.0,21.0,21.0,
2023-08-18 10:45:23.417,114.0,127.0,23.0,22.0,
2023-08-18 10:45:23.502,114.0,127.0,23.0,22.0,
2023-08-18 10:45:23.595,115.0,127.0,22.0,22.0,
2023-08-18 10:45:23.686,116.0,127.0,22.0,23.0,
2023-08-18 10:45:23.782,116.0,127.0,22.0,23.0,
2023-08-18 10:45:23.877,116.0,127.0,23.0,24.0,
2023-08-18 10:45:23.965,117.0,127.0,23.0,23.0,
2023-08-18 10:45:24.054,118.0,126.0,23.0,23.0,
2023-08-18 10:45:24.140,118.0,126.0,23.0,24.0,
2023-08-18 10:45:24.231,119.0,125.0,23.0,23.0,
2023-08-18 10:45:24.320,119.0,125.0,23.0,23.0,
2023-08-18 10:45:24.407,118.0,124.0,23.0,23.0,
2023-08-18 10:45:24.497,117.0,124.0,22.0,22.0,
2023-08-18 10:45:24.585,114.0,124.0,19.0,22.0,
2023-08-18 10:45:24.679,84.0,103.0,1.0,9.0,
2023-08-18 10:45:24.775,65.0,86.0,28.0,13.0,
2023-08-18 10:45:24.861,49.0,68.0,51.0,36.0,
2023-08-18 10:45:24.942,35.0,48.0,98.0,83.0,
2023-08-18 10:45:25.025,33.0,40.0,117.0,104.0,
2023-08-18 10:45:25.119,27.0,28.0,142.0,135.0,
2023-08-18 10:45:25.210,24.0,22.0,150.0,148.0,
2023-08-18 10:45:25.296,21.0,19.0,156.0,155.0,
2023-08-18 10:45:25.381,19.0,16.0,160.0,160.0,
2023-08-18 10:45:25.473,17.0,11.0,163.0,172.0,
2023-08-18 10:45:25.561,16.0,9.0,166.0,176.0,
2023-08-18 10:45:25.650,15.0,10.0,166.0,175.0,
2023-08-18 10:45:25.736,15.0,10.0,167.0,173.0,
2023-08-18 10:45:25.826,14.0,10.0,167.0,172.0,
2023-08-18 10:45:25.913,14.0,10.0,166.0,172.0,
2023-08-18 10:45:26.001,14.0,10.0,166.0,172.0,
2023-08-18 10:45:26.093,15.0,11.0,166.0,170.0,
2023-08-18 10:45:26.185,15.0,12.0,166.0,170.0,
2023-08-18 10:45:26.270,18.0,17.0,159.0,159.0,
2023-08-18 10:45:26.353,22.0,21.0,149.0,145.0,
2023-08-18 10:45:26.450,25.0,25.0,137.0,130.0,
2023-08-18 10:45:26.540,33.0,34.0,100.0,96.0,
2023-08-18 10:45:26.635,40.0,40.0,75.0,78.0,
2023-08-18 10:45:26.720,47.0,45.0,59.0,61.0,
2023-08-18 10:45:26.810,66.0,57.0,31.0,37.0,
2023-08-18 10:45:26.906,76.0,66.0,20.0,24.0,
2023-08-18 10:45:26.995,94.0,83.0,7.0,1.0,
2023-08-18 10:45:27.082,100.0,91.0,10.0,8.0,
2023-08-18 10:45:27.178,105.0,98.0,14.0,13.0,
2023-08-18 10:45:27.273,115.0,109.0,24.0,22.0,
2023-08-18 10:45:27.361,119.0,113.0,26.0,23.0,
2023-08-18 10:45:27.463,120.0,114.0,25.0,23.0,
2023-08-18 10:45:27.561,125.0,116.0,27.0,23.0,
2023-08-18 10:45:27.654,126.0,116.0,27.0,24.0,
2023-08-18 10:45:27.742,127.0,117.0,28.0,25.0,
2023-08-18 10:45:27.838,127.0,117.0,27.0,26.0,
2023-08-18 10:45:27.928,127.0,118.0,27.0,26.0,
2023-08-18 10:45:28.018,126.0,118.0,26.0,25.0,
2023-08-18 10:45:28.112,125.0,118.0,26.0,25.0,
2023-08-18 10:45:28.205,124.0,118.0,26.0,25.0,
2023-08-18 10:45:28.295,123.0,118.0,26.0,25.0,
2023-08-18 10:45:28.386,123.0,117.0,27.0,25.0,
2023-08-18 10:45:28.482,114.0,112.0,24.0,21.0,
2023-08-18 10:45:28.579,102.0,98.0,17.0,14.0,
2023-08-18 10:45:28.670,64.0,61.0,35.0,26.0,
2023-08-18 10:45:28.757,47.0,48.0,55.0,42.0,
2023-08-18 10:45:28.852,38.0,39.0,77.0,67.0,
2023-08-18 10:45:28.937,31.0,31.0,120.0,115.0,
2023-08-18 10:45:29.029,28.0,26.0,134.0,129.0,
2023-08-18 10:45:29.115,26.0,24.0,141.0,138.0,
2023-08-18 10:45:29.204,22.0,21.0,150.0,148.0,
2023-08-18 10:45:29.289,20.0,19.0,156.0,152.0,
2023-08-18 10:45:29.376,17.0,15.0,162.0,162.0,
2023-08-18 10:45:29.464,16.0,12.0,165.0,168.0,
2023-08-18 10:45:29.552,15.0,11.0,166.0,171.0,
2023-08-18 10:45:29.642,15.0,11.0,166.0,170.0,
2023-08-18 10:45:29.737,14.0,11.0,167.0,171.0,
2023-08-18 10:45:29.823,15.0,11.0,166.0,171.0,
2023-08-18 10:45:29.916,15.0,11.0,166.0,171.0,
2023-08-18 10:45:30.016,15.0,12.0,165.0,169.0,
2023-08-18 10:45:30.104,15.0,13.0,165.0,168.0,
2023-08-18 10:45:30.191,15.0,13.0,165.0,167.0,
2023-08-18 10:45:30.277,20.0,18.0,152.0,151.0,
2023-08-18 10:45:30.367,23.0,23.0,138.0,137.0,
2023-08-18 10:45:30.457,31.0,30.0,102.0,104.0,
2023-08-18 10:45:30.545,35.0,36.0,74.0,80.0,
2023-08-18 10:45:30.629,40.0,40.0,60.0,63.0,
2023-08-18 10:45:30.717,51.0,49.0,35.0,39.0,
2023-08-18 10:45:30.803,60.0,56.0,25.0,29.0,
2023-08-18 10:45:30.887,72.0,65.0,12.0,16.0,
2023-08-18 10:45:30.970,89.0,85.0,4.0,2.0,
2023-08-18 10:45:31.060,96.0,93.0,8.0,10.0,
2023-08-18 10:45:31.149,102.0,100.0,10.0,15.0,
2023-08-18 10:45:31.236,108.0,107.0,18.0,19.0,
2023-08-18 10:45:31.329,117.0,114.0,24.0,22.0,
2023-08-18 10:45:31.423,121.0,115.0,23.0,21.0,
2023-08-18 10:45:31.513,122.0,116.0,24.0,22.0,
2023-08-18 10:45:31.597,126.0,119.0,24.0,22.0,
2023-08-18 10:45:31.684,127.0,119.0,24.0,21.0,
2023-08-18 10:45:31.774,127.0,118.0,23.0,21.0,
2023-08-18 10:45:31.867,126.0,118.0,23.0,22.0,
2023-08-18 10:45:31.950,126.0,118.0,22.0,21.0,
2023-08-18 10:45:32.040,126.0,118.0,23.0,21.0,
2023-08-18 10:45:32.134,125.0,118.0,24.0,21.0,
2023-08-18 10:45:32.217,124.0,117.0,23.0,21.0,
2023-08-18 10:45:32.300,122.0,117.0,21.0,20.0,
2023-08-18 10:45:32.390,105.0,106.0,14.0,17.0,
2023-08-18 10:45:32.475,88.0,93.0,6.0,6.0,
2023-08-18 10:45:32.559,72.0,77.0,27.0,12.0,
2023-08-18 10:45:32.646,39.0,43.0,67.0,57.0,
2023-08-18 10:45:32.737,33.0,34.0,93.0,86.0,
2023-08-18 10:45:32.828,30.0,28.0,114.0,115.0,
2023-08-18 10:45:32.914,22.0,18.0,143.0,145.0,
2023-08-18 10:45:33.001,19.0,12.0,153.0,160.0,
2023-08-18 10:45:33.091,16.0,10.0,160.0,166.0,
2023-08-18 10:45:33.179,15.0,9.0,162.0,168.0,
2023-08-18 10:45:33.270,15.0,10.0,163.0,168.0,
2023-08-18 10:45:33.358,15.0,9.0,163.0,169.0,
2023-08-18 10:45:33.446,15.0,10.0,164.0,169.0,
2023-08-18 10:45:33.531,15.0,10.0,164.0,169.0,
2023-08-18 10:45:33.618,15.0,10.0,164.0,168.0,
2023-08-18 10:45:33.714,15.0,11.0,165.0,168.0,
2023-08-18 10:45:33.800,15.0,11.0,164.0,168.0,
2023-08-18 10:45:33.889,17.0,14.0,160.0,162.0,
2023-08-18 10:45:33.975,20.0,19.0,149.0,148.0,You are doing great! Now you can speed up your movement to achieve better training effect
2023-08-18 10:45:34.067,29.0,28.0,116.0,115.0,
2023-08-18 10:45:34.162,33.0,33.0,90.0,90.0,
2023-08-18 10:45:34.251,38.0,38.0,68.0,75.0,
2023-08-18 10:45:34.338,55.0,50.0,42.0,41.0,
2023-08-18 10:45:34.432,65.0,59.0,23.0,30.0,
2023-08-18 10:45:34.524,85.0,81.0,1.0,1.0,
2023-08-18 10:45:34.617,95.0,93.0,10.0,8.0,
2023-08-18 10:45:34.705,101.0,99.0,10.0,13.0,
2023-08-18 10:45:34.800,111.0,113.0,20.0,20.0,
2023-08-18 10:45:34.890,116.0,115.0,23.0,21.0,
2023-08-18 10:45:34.976,120.0,117.0,25.0,23.0,
2023-08-18 10:45:35.065,121.0,117.0,26.0,24.0,
2023-08-18 10:45:35.154,121.0,116.0,26.0,24.0,
2023-08-18 10:45:35.242,121.0,116.0,25.0,24.0,
2023-08-18 10:45:35.328,122.0,116.0,25.0,24.0,
2023-08-18 10:45:35.420,121.0,116.0,25.0,24.0,
2023-08-18 10:45:35.503,120.0,116.0,25.0,24.0,
2023-08-18 10:45:35.590,120.0,115.0,25.0,23.0,
2023-08-18 10:45:35.686,118.0,115.0,23.0,22.0,
2023-08-18 10:45:35.774,115.0,115.0,23.0,20.0,
