Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-17 10:32:51.145,126.0,135.0,41.0,43.0,
2023-08-17 10:32:51.223,126.0,136.0,42.0,43.0,
2023-08-17 10:32:51.296,126.0,137.0,42.0,43.0,
2023-08-17 10:32:51.371,123.0,137.0,42.0,45.0,
2023-08-17 10:32:51.453,116.0,134.0,44.0,52.0,
2023-08-17 10:32:51.528,72.0,99.0,29.0,57.0,
2023-08-17 10:32:51.609,44.0,70.0,28.0,57.0,
2023-08-17 10:32:51.683,32.0,47.0,19.0,56.0,
2023-08-17 10:32:51.759,25.0,34.0,160.0,143.0,
2023-08-17 10:32:51.839,19.0,24.0,175.0,155.0,
2023-08-17 10:32:51.918,15.0,18.0,173.0,155.0,
2023-08-17 10:32:51.996,12.0,10.0,176.0,163.0,
2023-08-17 10:32:52.077,12.0,8.0,173.0,167.0,
2023-08-17 10:32:52.156,12.0,8.0,173.0,170.0,
2023-08-17 10:32:52.236,12.0,8.0,173.0,171.0,"When you reach the highest point, please don't raise your arms too high to make sure they are paralleled to the ground"
2023-08-17 10:32:52.316,12.0,8.0,173.0,175.0,
2023-08-17 10:32:52.397,12.0,8.0,173.0,175.0,
2023-08-17 10:32:52.473,12.0,9.0,173.0,176.0,
2023-08-17 10:32:52.554,12.0,9.0,173.0,177.0,
2023-08-17 10:32:52.631,12.0,9.0,173.0,178.0,
2023-08-17 10:32:52.705,12.0,9.0,173.0,177.0,
2023-08-17 10:32:52.778,12.0,9.0,173.0,177.0,
2023-08-17 10:32:52.853,13.0,12.0,175.0,176.0,
2023-08-17 10:32:52.931,17.0,15.0,170.0,172.0,
2023-08-17 10:32:53.007,25.0,20.0,163.0,164.0,
2023-08-17 10:32:53.089,34.0,31.0,163.0,164.0,
2023-08-17 10:32:53.174,47.0,52.0,164.0,173.0,
2023-08-17 10:32:53.249,62.0,70.0,121.0,161.0,
2023-08-17 10:32:53.328,95.0,93.0,155.0,178.0,
2023-08-17 10:32:53.401,121.0,127.0,29.0,27.0,
2023-08-17 10:32:53.482,126.0,133.0,41.0,47.0,
2023-08-17 10:32:53.570,127.0,135.0,44.0,44.0,
2023-08-17 10:32:53.650,129.0,134.0,43.0,41.0,
2023-08-17 10:32:53.729,129.0,135.0,44.0,41.0,
2023-08-17 10:32:53.806,129.0,134.0,43.0,41.0,
2023-08-17 10:32:53.890,129.0,134.0,43.0,42.0,
2023-08-17 10:32:53.972,128.0,134.0,43.0,41.0,
2023-08-17 10:32:54.052,129.0,135.0,42.0,39.0,
2023-08-17 10:32:54.134,130.0,136.0,44.0,39.0,
2023-08-17 10:32:54.211,130.0,137.0,46.0,39.0,
2023-08-17 10:32:54.290,132.0,137.0,46.0,40.0,
2023-08-17 10:32:54.369,133.0,138.0,46.0,40.0,
2023-08-17 10:32:54.447,133.0,138.0,45.0,41.0,
2023-08-17 10:32:54.528,134.0,139.0,43.0,39.0,
2023-08-17 10:32:54.608,134.0,140.0,41.0,39.0,
2023-08-17 10:32:54.687,134.0,140.0,41.0,39.0,
2023-08-17 10:32:54.766,134.0,140.0,40.0,38.0,
2023-08-17 10:32:54.847,133.0,140.0,38.0,37.0,
2023-08-17 10:32:54.924,133.0,139.0,36.0,37.0,
2023-08-17 10:32:55.002,133.0,139.0,33.0,36.0,
2023-08-17 10:32:55.083,130.0,135.0,32.0,37.0,
2023-08-17 10:32:55.162,117.0,121.0,24.0,33.0,
2023-08-17 10:32:55.243,95.0,105.0,18.0,24.0,
2023-08-17 10:32:55.327,67.0,74.0,18.0,53.0,
2023-08-17 10:32:55.401,39.0,45.0,161.0,153.0,
2023-08-17 10:32:55.478,32.0,34.0,176.0,163.0,
2023-08-17 10:32:55.558,25.0,26.0,173.0,163.0,
2023-08-17 10:32:55.634,20.0,21.0,177.0,162.0,
2023-08-17 10:32:55.706,16.0,17.0,173.0,164.0,
2023-08-17 10:32:55.782,13.0,13.0,178.0,173.0,
2023-08-17 10:32:55.863,12.0,11.0,174.0,179.0,
2023-08-17 10:32:55.945,13.0,10.0,172.0,179.0,
2023-08-17 10:32:56.027,13.0,9.0,171.0,179.0,
2023-08-17 10:32:56.108,13.0,9.0,172.0,178.0,
2023-08-17 10:32:56.184,12.0,9.0,172.0,177.0,
2023-08-17 10:32:56.259,13.0,9.0,171.0,177.0,
2023-08-17 10:32:56.338,13.0,8.0,171.0,179.0,
2023-08-17 10:32:56.420,13.0,8.0,171.0,179.0,
2023-08-17 10:32:56.497,13.0,8.0,172.0,179.0,
2023-08-17 10:32:56.581,13.0,8.0,172.0,179.0,
2023-08-17 10:32:56.658,13.0,8.0,171.0,179.0,
2023-08-17 10:32:56.740,13.0,7.0,171.0,178.0,
2023-08-17 10:32:56.818,15.0,8.0,167.0,179.0,
2023-08-17 10:32:56.896,21.0,12.0,153.0,175.0,
2023-08-17 10:32:56.973,28.0,19.0,139.0,163.0,
2023-08-17 10:32:57.057,33.0,28.0,126.0,142.0,
2023-08-17 10:32:57.137,48.0,48.0,97.0,75.0,
2023-08-17 10:32:57.216,58.0,59.0,89.0,64.0,
2023-08-17 10:32:57.297,68.0,72.0,78.0,59.0,
2023-08-17 10:32:57.377,77.0,85.0,57.0,57.0,
2023-08-17 10:32:57.454,101.0,97.0,25.0,24.0,
2023-08-17 10:32:57.532,117.0,114.0,7.0,3.0,
2023-08-17 10:32:57.612,118.0,116.0,1.0,10.0,
2023-08-17 10:32:57.688,117.0,116.0,1.0,12.0,
2023-08-17 10:32:57.767,117.0,116.0,1.0,8.0,
2023-08-17 10:32:57.844,116.0,115.0,2.0,3.0,
2023-08-17 10:32:57.921,116.0,113.0,0.0,4.0,
2023-08-17 10:32:58.001,116.0,113.0,0.0,3.0,
2023-08-17 10:32:58.077,117.0,114.0,1.0,3.0,
2023-08-17 10:32:58.154,117.0,114.0,1.0,5.0,
2023-08-17 10:32:58.229,118.0,114.0,1.0,5.0,
2023-08-17 10:32:58.311,118.0,113.0,0.0,4.0,
2023-08-17 10:32:58.396,118.0,114.0,1.0,7.0,
2023-08-17 10:32:58.475,117.0,114.0,3.0,9.0,
2023-08-17 10:32:58.557,117.0,114.0,2.0,9.0,
2023-08-17 10:32:58.635,117.0,114.0,3.0,11.0,
2023-08-17 10:32:58.715,117.0,115.0,5.0,14.0,
2023-08-17 10:32:58.799,115.0,114.0,7.0,16.0,
2023-08-17 10:32:58.875,116.0,114.0,9.0,16.0,
2023-08-17 10:32:58.954,118.0,114.0,10.0,15.0,
2023-08-17 10:32:59.038,117.0,114.0,9.0,14.0,
2023-08-17 10:32:59.123,117.0,114.0,8.0,13.0,
2023-08-17 10:32:59.200,113.0,113.0,8.0,14.0,
2023-08-17 10:32:59.277,104.0,109.0,12.0,17.0,
2023-08-17 10:32:59.353,89.0,94.0,20.0,35.0,
2023-08-17 10:32:59.433,65.0,74.0,72.0,57.0,
2023-08-17 10:32:59.510,47.0,63.0,112.0,62.0,
2023-08-17 10:32:59.589,32.0,34.0,162.0,159.0,
2023-08-17 10:32:59.668,26.0,24.0,169.0,156.0,
2023-08-17 10:32:59.749,20.0,18.0,174.0,156.0,
2023-08-17 10:32:59.827,16.0,14.0,177.0,156.0,
2023-08-17 10:32:59.906,13.0,9.0,177.0,163.0,
2023-08-17 10:32:59.986,12.0,7.0,174.0,169.0,
2023-08-17 10:33:00.064,12.0,6.0,169.0,175.0,
2023-08-17 10:33:00.147,12.0,7.0,169.0,177.0,
2023-08-17 10:33:00.223,12.0,7.0,168.0,177.0,
2023-08-17 10:33:00.307,13.0,7.0,168.0,175.0,
2023-08-17 10:33:00.385,13.0,8.0,169.0,175.0,
2023-08-17 10:33:00.464,14.0,9.0,174.0,167.0,
2023-08-17 10:33:00.548,17.0,13.0,177.0,158.0,
2023-08-17 10:33:00.627,23.0,20.0,177.0,153.0,
2023-08-17 10:33:00.703,35.0,33.0,172.0,159.0,
2023-08-17 10:33:00.793,48.0,50.0,177.0,161.0,
2023-08-17 10:33:00.871,78.0,84.0,115.0,112.0,
2023-08-17 10:33:00.953,110.0,99.0,26.0,137.0,
2023-08-17 10:33:01.035,116.0,106.0,1.0,4.0,
2023-08-17 10:33:01.114,119.0,114.0,4.0,26.0,
2023-08-17 10:33:01.196,118.0,118.0,5.0,23.0,
2023-08-17 10:33:01.274,116.0,117.0,3.0,20.0,
2023-08-17 10:33:01.353,115.0,115.0,4.0,19.0,
2023-08-17 10:33:01.431,115.0,114.0,3.0,14.0,
2023-08-17 10:33:01.511,117.0,113.0,4.0,12.0,
2023-08-17 10:33:01.597,117.0,113.0,5.0,16.0,
2023-08-17 10:33:01.674,118.0,114.0,6.0,19.0,
2023-08-17 10:33:01.752,118.0,115.0,7.0,22.0,
2023-08-17 10:33:01.833,118.0,115.0,8.0,26.0,
2023-08-17 10:33:01.913,117.0,116.0,7.0,27.0,
2023-08-17 10:33:01.996,116.0,117.0,7.0,29.0,
2023-08-17 10:33:02.082,115.0,116.0,5.0,31.0,
2023-08-17 10:33:02.166,114.0,115.0,3.0,33.0,
2023-08-17 10:33:02.249,114.0,116.0,2.0,33.0,
2023-08-17 10:33:02.327,112.0,115.0,3.0,35.0,
2023-08-17 10:33:02.406,81.0,86.0,13.0,48.0,
2023-08-17 10:33:02.488,55.0,63.0,17.0,46.0,
2023-08-17 10:33:02.571,43.0,45.0,15.0,103.0,
2023-08-17 10:33:02.652,29.0,28.0,169.0,151.0,
2023-08-17 10:33:02.730,14.0,11.0,167.0,158.0,
2023-08-17 10:33:02.811,11.0,6.0,179.0,162.0,
